,h3_index,geometry
0,89394461cb7ffff,"POLYGON ((41.37647350983579 2.1484829326317616, 41.37469529767705 2.148811895125004, 41.374126595362725 2.150983212561883, 41.37533611377594 2.1528256630149745, 41.37711435987853 2.152496770619157, 41.37768305362463 2.150325357669919, 41.37647350983579 2.1484829326317616))"
1,89394461993ffff,"POLYGON ((41.36494986757214 2.179539848805385, 41.363171159905725 2.1798682048595945, 41.36260163827023 2.182039614586272, 41.36381083281563 2.183882763713786, 41.36558957439817 2.183554477812871, 41.36615908751979 2.181382972628276, 41.36494986757214 2.179539848805385))"
2,89394460a53ffff,"POLYGON ((41.37156531598781 2.1865845856504262, 41.36978662647767 2.1869128398782554, 41.369217045022545 2.1890845069512457, 41.370426161578585 2.1909280152599, 41.37220488499139 2.1905998312133383, 41.372774457946086 2.188428068674002, 41.37156531598781 2.1865845856504262))"
3,89394460acfffff,"POLYGON ((41.374553121405995 2.188099830289184, 41.372774457946086 2.188428068674002, 41.37220488499139 2.1905998312133383, 41.373413983994595 2.192443450836652, 41.37519268135306 2.192115282641644, 41.37576224581038 2.1899434246306533, 41.374553121405995 2.188099830289184))"
4,89394460acbffff,"POLYGON ((41.37391344164704 2.1840845809700684, 41.3721348120909 2.1844128895340007, 41.37156531598781 2.1865845856504262, 41.372774457946086 2.188428068674002, 41.374553121405995 2.188099830289184, 41.37512260900443 2.1859280386988202, 41.37391344164704 2.1840845809700684))"
5,89394460ac3ffff,"POLYGON ((41.37690121250509 2.1855997459735192, 41.37512260900443 2.1859280386988202, 41.374553121405995 2.188099830289184, 41.37576224581038 2.1899434246306533, 41.37754088321073 2.18961520209306, 41.37811036230759 2.187443315023437, 41.37690121250509 2.1855997459735192))"
6,89394460ad7ffff,"POLYGON ((41.379888939743466 2.1871150381410547, 41.37811036230759 2.187443315023437, 41.37754088321073 2.18961520209306, 41.37874999004882 2.191458907762063, 41.380528601380284 2.1911307010759793, 41.38109807197863 2.188958718521744, 41.379888939743466 2.1871150381410547))"
7,89394460ac7ffff,"POLYGON ((41.37754088321073 2.18961520209306, 41.37576224581038 2.1899434246306533, 41.37519268135306 2.192115282641644, 41.376401762790984 2.193959013589209, 41.378180434085806 2.193630861250074, 41.37874999004882 2.191458907762063, 41.37754088321073 2.18961520209306))"
8,89394460a8bffff,"POLYGON ((41.380528601380284 2.1911307010759793, 41.37874999004882 2.191458907762063, 41.378180434085806 2.193630861250074, 41.379389497946065 2.1954747035315023, 41.381168143167855 2.1951465670524892, 41.381737690639646 2.192974518082118, 41.380528601380284 2.1911307010759793))"
9,89394460e6fffff,"POLYGON ((41.38223685094157 2.1846147907910027, 41.38045833347658 2.1849431220203437, 41.379888939743466 2.1871150381410547, 41.38109807197863 2.188958718521744, 41.382876623340366 2.188630457486574, 41.38344600857077 2.186458445873659, 41.38223685094157 2.1846147907910027))"
10,89394460e6bffff,"POLYGON ((41.38159695871811 2.180599327189172, 41.3798184751551 2.1809277286019557, 41.37924915827902 2.1830995782717384, 41.38045833347658 2.1849431220203437, 41.38223685094157 2.1846147907910027, 41.38280615930765 2.182442845626755, 41.38159695871811 2.180599327189172))"
11,89394461da7ffff,"POLYGON ((41.378609257008584 2.179084321492088, 41.376830747379636 2.1794127387348388, 41.37626142199051 2.1815844929155026, 41.37747061474399 2.1834279253396787, 41.37924915827902 2.1830995782717384, 41.3798184751551 2.1809277286019557, 41.378609257008584 2.179084321492088))"
12,89394461da3ffff,"POLYGON ((41.37796923595375 2.175069267826098, 41.3761907602361 2.175397755232925, 41.37562151168858 2.1775694429430557, 41.376830747379636 2.1794127387348388, 41.378609257008584 2.179084321492088, 41.37917849703577 2.1769125382905963, 41.37796923595375 2.175069267826098))"
13,89394461dafffff,"POLYGON ((41.37562151168858 2.1775694429430557, 41.373842976003026 2.177897876011515, 41.37327364209776 2.1800695347084034, 41.374482852394785 2.181912855817761, 41.37626142199051 2.1815844929155026, 41.376830747379636 2.1794127387348388, 41.37562151168858 2.1775694429430557))"
14,89394461dabffff,"POLYGON ((41.37498148162091 2.1735545960801597, 41.373202979850774 2.173883099304089, 41.37263372277983 2.1760546915281855, 41.373842976003026 2.177897876011515, 41.37562151168858 2.1775694429430557, 41.3761907602361 2.175397755232925, 41.37498148162091 2.1735545960801597))"
15,8939446ad03ffff,"POLYGON ((41.325034343909046 2.118763106119591, 41.323255724477086 2.1190924059140412, 41.322686952693424 2.121262033815239, 41.323896808969884 2.123102457342606, 41.32567546242064 2.1227732274888043, 41.3262442255767 2.1206035041641185, 41.325034343909046 2.118763106119591))"
16,8939446adbbffff,"POLYGON ((41.33101125120452 2.121785460793936, 41.32923268354086 2.122114729215233, 41.328663929009316 2.1242845479688044, 41.32987375076349 2.126125193732484, 41.33165235243773 2.125795995269043, 41.33222109834779 2.1236260810812233, 41.33101125120452 2.121785460793936))"
17,8939446ad8fffff,"POLYGON ((41.33037003064251 2.1177751295898446, 41.32859149699466 2.1181044679582177, 41.32802281912918 2.120274220054125, 41.32923268354086 2.122114729215233, 41.33101125120452 2.121785460793936, 41.33157992044126 2.1196156132616117, 41.33037003064251 2.1177751295898446))"
18,8939446ad1bffff,"POLYGON ((41.32439310610595 2.1147531880129895, 41.32261452069801 2.1150825577373857, 41.32204582556585 2.117252118976489, 41.323255724477086 2.1190924059140412, 41.325034343909046 2.118763106119591, 41.32560303040635 2.116593449454767, 41.32439310610595 2.1147531880129895))"
19,8939446ad87ffff,"POLYGON ((41.333358428195005 2.119286290577616, 41.33157992044126 2.1196156132616117, 41.33101125120452 2.121785460793936, 41.33222109834779 2.1236260810812233, 41.33399964011327 2.1232968283529168, 41.33456830072433 2.1211268853787844, 41.333358428195005 2.119286290577616))"
20,8939446ad13ffff,"POLYGON ((41.32738158993891 2.116264095406259, 41.32560303040635 2.116593449454767, 41.325034343909046 2.118763106119591, 41.3262442255767 2.1206035041641185, 41.32802281912918 2.120274220054125, 41.32859149699466 2.1181044679582177, 41.32738158993891 2.116264095406259))"
21,89394461ca3ffff,"POLYGON ((41.37348573642231 2.1469695813636123, 41.371707498230464 2.147298559618033, 41.37113878734482 2.1494697815478863, 41.372348323222916 2.151312120727463, 41.374126595362725 2.150983212561883, 41.37469529767705 2.148811895125004, 41.37348573642231 2.1469695813636123))"
22,89394461cb3ffff,"POLYGON ((41.375832540162946 2.1444692979540476, 41.3740543619533 2.1447983305339924, 41.37348573642231 2.1469695813636123, 41.37469529767705 2.148811895125004, 41.37647350983579 2.1484829326317616, 41.37704212679129 2.1463115862875437, 41.375832540162946 2.1444692979540476))"
23,89394460e5bffff,"POLYGON ((41.38501153669877 2.1675682424192955, 41.38323324092303 2.1678968928543556, 41.38266424846851 2.1700686675588745, 41.38387356032324 2.1719118873395735, 41.38565189001369 2.1715833070621655, 41.386220873935244 2.169411436843506, 41.38501153669877 2.1675682424192955))"
24,89394460327ffff,"POLYGON ((41.387358679564706 2.1650677339495563, 41.38558044378237 2.165396438731762, 41.38501153669877 2.1675682424192955, 41.386220873935244 2.169411436843506, 41.38799914363344 2.169082802216805, 41.38856804217989 2.166910903007542, 41.387358679564706 2.1650677339495563))"
25,89394460e53ffff,"POLYGON ((41.38799914363344 2.169082802216805, 41.386220873935244 2.169411436843506, 41.38565189001369 2.1715833070621655, 41.38686118432078 2.1734266381707292, 41.388639487929574 2.173098073710277, 41.38920846332125 2.1709261079721403, 41.38799914363344 2.169082802216805))"
26,89394460323ffff,"POLYGON ((41.38671809574502 2.161052868932496, 41.384939893883754 2.1613816438594404, 41.384371063629914 2.1635533809985077, 41.38558044378237 2.165396438731762, 41.387358679564706 2.1650677339495563, 41.38792750127411 2.162895901286508, 41.38671809574502 2.161052868932496))"
27,89394460ecbffff,"POLYGON ((41.39034625187947 2.1665822140293884, 41.38856804217989 2.166910903007542, 41.38799914363344 2.169082802216805, 41.38920846332125 2.1709261079721403, 41.39098670693257 2.170597489158104, 41.391555596944926 2.16842549442175, 41.39034625187947 2.1665822140293884))"
28,893944603afffff,"POLYGON ((41.392052529165106 2.1600664670410294, 41.39027441338861 2.160395280524041, 41.38970567705672 2.162567142155025, 41.39091506504749 2.1644102858370413, 41.3926932147421 2.164081542505247, 41.39326194252842 2.1619095853373564, 41.392052529165106 2.1600664670410294))"
29,89394460ecfffff,"POLYGON ((41.39098670693257 2.170597489158104, 41.38920846332125 2.1709261079721403, 41.388639487929574 2.173098073710277, 41.38984876467662 2.174941516156336, 41.39162704219442 2.174612967517136, 41.392196009059305 2.172440906254166, 41.39098670693257 2.170597489158104))"
30,89394460e57ffff,"POLYGON ((41.388639487929574 2.173098073710277, 41.38686118432078 2.1734266381707292, 41.386292123553055 2.1755985749030917, 41.38750137491732 2.17744204268939, 41.38927971243149 2.1771135484059396, 41.38984876467662 2.174941516156336, 41.388639487929574 2.173098073710277))"
31,8939446032bffff,"POLYGON ((41.38373047082876 2.1595387228238088, 41.38195224289816 2.159867513541905, 41.381383404096795 2.162039155162357, 41.382592801774145 2.1638821015804655, 41.384371063629914 2.1635533809985077, 41.384939893883754 2.1613816438594404, 41.38373047082876 2.1595387228238088))"
32,893944603b3ffff,"POLYGON ((41.39674579719247 2.1550648668762067, 41.39496780144725 2.155393789068758, 41.394399235880236 2.1575657086129705, 41.39560867461301 2.159408801513856, 41.39738670427859 2.159079949468216, 41.39795526129162 2.1569079343718998, 41.39674579719247 2.1550648668762067))"
33,89394461d93ffff,"POLYGON ((41.381383404096795 2.162039155162357, 41.37960511617693 2.1623678915398368, 41.37903619200978 2.164539504199977, 41.38024556430637 2.1663824759908143, 41.38202388615029 2.166053809751645, 41.382592801774145 2.1638821015804655, 41.381383404096795 2.162039155162357))"
34,89394460377ffff,"POLYGON ((41.3830897583169 2.1555242679191546, 41.38131156431673 2.1558531287626455, 41.38074280232967 2.158024703815039, 41.38195224289816 2.159867513541905, 41.38373047082876 2.1595387228238088, 41.384299224261014 2.1573670522505672, 41.3830897583169 2.1555242679191546))"
35,89394460363ffff,"POLYGON ((41.38010208087051 2.1540104557336273, 41.37832386081445 2.154339332355414, 41.37775509026952 2.1565108118923093, 41.37896454833908 2.158353510320028, 41.38074280232967 2.158024703815039, 41.38131156431673 2.1558531287626455, 41.38010208087051 2.1540104557336273))"
36,8939446037bffff,"POLYGON ((41.37946123974094 2.1499964109421046, 41.37768305362463 2.150325357669919, 41.37711435987853 2.152496770619157, 41.37832386081445 2.154339332355414, 41.38010208087051 2.1540104557336273, 41.38067076605147 2.151838947266681, 41.37946123974094 2.1499964109421046))"
37,89394460223ffff,"POLYGON ((41.3822306577964 2.132954506832812, 41.38045269352917 2.133283772471861, 41.37988440085423 2.135455043285558, 41.38109408104246 2.137297143996855, 41.38287207926739 2.1369679484272606, 41.38344036334694 2.1347965820740393, 41.3822306577964 2.132954506832812))"
38,89394461db3ffff,"POLYGON ((41.38031681488362 2.1725690093629275, 41.37853839914025 2.1728975511103137, 41.37796923595375 2.175069267826098, 41.37917849703577 2.1769125382905963, 41.38095694669159 2.176584066705133, 41.381526101353536 2.174412254490386, 41.38031681488362 2.1725690093629275))"
39,89394461dbbffff,"POLYGON ((41.37732909513612 2.1710544172978192, 41.37555065333502 2.1713829748579756, 41.37498148162091 2.1735545960801597, 41.3761907602361 2.175397755232925, 41.37796923595375 2.175069267826098, 41.37853839914025 2.1728975511103137, 41.37732909513612 2.1710544172978192))"
40,89394461d87ffff,"POLYGON ((41.37967656331581 2.1685541551865364, 41.37789818149011 2.168882767085099, 41.37732909513612 2.1710544172978192, 41.37853839914025 2.1728975511103137, 41.38031681488362 2.1725690093629275, 41.38088589270577 2.1703972636489985, 41.37967656331581 2.1685541551865364))"
41,89394461d97ffff,"POLYGON ((41.38202388615029 2.166053809751645, 41.38024556430637 2.1663824759908143, 41.37967656331581 2.1685541551865364, 41.38088589270577 2.1703972636489985, 41.38266424846851 2.1700686675588745, 41.38323324092303 2.1678968928543556, 41.38202388615029 2.166053809751645))"
42,8939446032fffff,"POLYGON ((41.384371063629914 2.1635533809985077, 41.382592801774145 2.1638821015804655, 41.38202388615029 2.166053809751645, 41.38323324092303 2.1678968928543556, 41.38501153669877 2.1675682424192955, 41.38558044378237 2.165396438731762, 41.384371063629914 2.1635533809985077))"
43,89394460e4bffff,"POLYGON ((41.38266424846851 2.1700686675588745, 41.38088589270577 2.1703972636489985, 41.38031681488362 2.1725690093629275, 41.381526101353536 2.174412254490386, 41.38330449102984 2.174083728560054, 41.38387356032324 2.1719118873395735, 41.38266424846851 2.1700686675588745))"
44,89394461d9bffff,"POLYGON ((41.37839570098714 2.1605250564272396, 41.376617387012516 2.160853808595919, 41.37604845429896 2.163025325750392, 41.37725784410699 2.164868186238984, 41.37903619200978 2.164539504199977, 41.37960511617693 2.1623678915398368, 41.37839570098714 2.1605250564272396))"
45,89394461d83ffff,"POLYGON ((41.37903619200978 2.164539504199977, 41.37725784410699 2.164868186238984, 41.376688834577315 2.167039769931256, 41.37789818149011 2.168882767085099, 41.37967656331581 2.1685541551865364, 41.38024556430637 2.1663824759908143, 41.37903619200978 2.164539504199977))"
46,89394460e4fffff,"POLYGON ((41.38330449102984 2.174083728560054, 41.381526101353536 2.174412254490386, 41.38095694669159 2.176584066705133, 41.38216619022803 2.1784274484909787, 41.38394461381267 2.1780989927311767, 41.38451375995315 2.1759270850121233, 41.38330449102984 2.174083728560054))"
47,89394460e7bffff,"POLYGON ((41.38394461381267 2.1780989927311767, 41.38216619022803 2.1784274484909787, 41.38159695871811 2.180599327189172, 41.38280615930765 2.182442845626755, 41.384584616795394 2.1821144600482194, 41.38515383979111 2.179942485847972, 41.38394461381267 2.1780989927311767))"
48,89394461dd7ffff,"POLYGON ((41.37540795432267 2.1590110847792316, 41.373629614302644 2.159339852734893, 41.37306067303963 2.16151127438902, 41.374270080346676 2.1633540235849686, 41.37604845429896 2.163025325750392, 41.376617387012516 2.160853808595919, 41.37540795432267 2.1590110847792316))"
49,89394461dc7ffff,"POLYGON ((41.37306067303963 2.16151127438902, 41.37128227304717 2.1618399880148944, 41.370713246430064 2.164011380716346, 41.371922628351236 2.165854155281786, 41.373701062274826 2.165525511779152, 41.374270080346676 2.1633540235849686, 41.37306067303963 2.16151127438902))"
50,89394461d1bffff,"POLYGON ((41.370713246430064 2.164011380716346, 41.368934786471534 2.1643400400146033, 41.36836567450363 2.1665114037558038, 41.36957503103586 2.168354203681037, 41.37135352492437 2.1680256145081613, 41.371922628351236 2.165854155281786, 41.370713246430064 2.164011380716346))"
51,89394461dc3ffff,"POLYGON ((41.37242016412515 2.1574972402044588, 41.370641798069066 2.1578260239428184, 41.370072848253514 2.159997350101974, 41.37128227304717 2.1618399880148944, 41.37306067303963 2.16151127438902, 41.373629614302644 2.159339852734893, 41.37242016412515 2.1574972402044588))"
52,89394461d8bffff,"POLYGON ((41.37604845429896 2.163025325750392, 41.374270080346676 2.1633540235849686, 41.373701062274826 2.165525511779152, 41.37491042669803 2.167368397633988, 41.376688834577315 2.167039769931256, 41.37725784410699 2.164868186238984, 41.37604845429896 2.163025325750392))"
53,8939446026bffff,"POLYGON ((41.372625898103735 2.124404175048473, 41.37084788971795 2.124733557900548, 41.37027964798073 2.1269044754339017, 41.37148942324179 2.128746105637952, 41.373267465602815 2.1284167928187965, 41.37383569872814 2.1262457797597922, 41.372625898103735 2.124404175048473))"
54,8939446027bffff,"POLYGON ((41.374972002879254 2.121903791529505, 41.37319405448765 2.1222332286984953, 41.372625898103735 2.124404175048473, 41.37383569872814 2.1262457797597922, 41.37561368109613 2.125916412621562, 41.37618182886393 2.1237453707383676, 41.374972002879254 2.121903791529505))"
55,89394460237ffff,"POLYGON ((41.38521830156421 2.134467332170206, 41.38344036334694 2.1347965820740393, 41.38287207926739 2.1369679484272606, 41.38408174199801 2.1388101604186693, 41.38585971416887 2.1384809805928873, 41.38642798965611 2.1363095186947794, 41.38521830156421 2.134467332170206))"
56,893944603cbffff,"POLYGON ((41.38585971416887 2.1384809805928873, 41.38408174199801 2.1388101604186693, 41.38351338113878 2.1409815934396215, 41.38472300103607 2.1428239421746307, 41.38650100715529 2.1424948324376922, 41.38706935942946 2.140323303874042, 41.38585971416887 2.1384809805928873))"
57,893944602a7ffff,"POLYGON ((41.39055194406486 2.133479505257635, 41.38877409192609 2.133808793762735, 41.38820590181412 2.1359802845304454, 41.38941557243494 2.137822582347993, 41.39119345852435 2.137493363927401, 41.39176164004285 2.135321777601866, 41.39055194406486 2.133479505257635))"
58,893944603dbffff,"POLYGON ((41.38820590181412 2.1359802845304454, 41.38642798965611 2.1363095186947794, 41.38585971416887 2.1384809805928873, 41.38706935942946 2.140323303874042, 41.388847305536956 2.1399941397963564, 41.38941557243494 2.137822582347993, 41.38820590181412 2.1359802845304454))"
59,893944602a3ffff,"POLYGON ((41.38991030999309 2.1294658500661763, 41.38813249181015 2.129795208645015, 41.387564378475986 2.131966632714722, 41.38877409192609 2.133808793762735, 41.39055194406486 2.133479505257635, 41.39112004879828 2.1313079856278985, 41.38991030999309 2.1294658500661763))"
60,893944602afffff,"POLYGON ((41.387564378475986 2.131966632714722, 41.38578650027271 2.132295936954968, 41.38521830156421 2.134467332170206, 41.38642798965611 2.1363095186947794, 41.38820590181412 2.1359802845304454, 41.38877409192609 2.133808793762735, 41.387564378475986 2.131966632714722))"
